FOLD	SCORE 0 SVM	SCORE 1 SVM	SCORE 0 KNN	SCORE 1 KNN	SCORE 0 NB	SCORE 1 NB	SCORE 0 DT	SCORE 1 DT	SCORE 0 MLP	SCORE 1 MLP
1	0.7739986574177669	0.7770911498565438	0.7893702822872506	0.755432825069036	0.7438799076212471	0.762526766595289	0.6831763748401348	0.7100755399510587	0.7838506522717048	0.7889767237593324
2	0.7784084585420145	0.7791458679977814	0.7873191751308095	0.7488186114140312	0.749139316043149	0.7645918587120396	0.6919431279620852	0.7149427746283025	0.7905897945659377	0.7880617035546612
3	0.775923453493547	0.776520195295162	0.7904585646720133	0.7536862460720329	0.7444380403458214	0.7622520107238605	0.6850189035916825	0.7204278523489932	0.7888392857142856	0.7907079646017698
4	0.7774329416980714	0.7763421697482735	0.7914624183006537	0.7512183235867446	0.7486557602105023	0.7627173560859705	0.6835205992509363	0.7140439932318106	0.7849593948158862	0.785484407945844
5	0.7779380756852735	0.7773945933919234	0.7886337897662926	0.7522625799444914	0.7453458974948288	0.7616691761669176	0.6852803738317758	0.7146186440677966	0.7868926046459432	0.791066123886016
6	0.7722705961152043	0.7743861977438621	0.7886571457926641	0.7511793879279062	0.7450304492703667	0.7613208561901689	0.6992975300249263	0.710704163941574	0.7842831700801425	0.7850488021295473
7	0.7733065057008719	0.7760106030483763	0.7864147826984619	0.7511127150246601	0.7438474870017331	0.7627608346709471	0.6844994743604719	0.7138468058056998	0.7838020247469067	0.7890230515916575
8	0.7767857142857143	0.7787610619469026	0.7895548473321682	0.7525685966396712	0.7451612903225805	0.7626609442060085	0.6752065126301927	0.718772675443143	0.7867435158501442	0.7856983738026285
9	0.7757575757575756	0.7801980198019803	0.7913996278685135	0.7576267115061254	0.7457509538674992	0.7648379852422201	0.6932959588881102	0.721763085399449	0.7848921667225388	0.7873163186388245
10	0.7743726404619143	0.7740716032910829	0.7866951480012206	0.7432978332721263	0.7450126117862875	0.7602931666307393	0.6805733597482811	0.7089924620448032	0.7829465970911513	0.782608695652174
